"Cycle","Well","RFU","Replicate","Sample"
"1",0.633333333333333,"A4",2638.11974557284,"1","I"
"2",1.26666666666667,"A4",2631.36690012617,"1","I"
"3",1.9,"A4",2638.08077591931,"1","I"
"4",2.53333333333333,"A4",2609.40469203564,"1","I"
"5",3.16666666666667,"A4",2598.96222396901,"1","I"
"6",3.8,"A4",2604.83349213391,"1","I"
"7",4.43333333333333,"A4",2644.5838279419,"1","I"
"8",5.06666666666667,"A4",2675.11180168666,"1","I"
"9",5.7,"A4",2689.27090284872,"1","I"
"10",6.33333333333333,"A4",2701.26497094598,"1","I"
"11",6.96666666666667,"A4",2708.05559747022,"1","I"
"12",7.6,"A4",2712.03599019723,"1","I"
"13",8.23333333333333,"A4",2717.17240537874,"1","I"
"14",8.86666666666667,"A4",2718.49904046619,"1","I"
"15",9.5,"A4",2717.88117900253,"1","I"
"16",10.1333333333333,"A4",2720.23422933128,"1","I"
"17",10.7666666666667,"A4",2724.47505320065,"1","I"
"18",11.4,"A4",2719.0911242562,"1","I"
"19",12.0333333333333,"A4",2726.44568944491,"1","I"
"20",12.6666666666667,"A4",2724.81755746179,"1","I"
"21",13.3,"A4",2729.36298359178,"1","I"
"22",13.9333333333333,"A4",2725.027167268,"1","I"
"23",14.5666666666667,"A4",2726.82816636774,"1","I"
"24",15.2,"A4",2727.16963549571,"1","I"
"25",15.8333333333333,"A4",2728.10087571698,"1","I"
"26",16.4666666666667,"A4",2729.4406723504,"1","I"
"27",17.1,"A4",2728.40359127432,"1","I"
"28",17.7333333333333,"A4",2730.96521809209,"1","I"
"29",18.3666666666667,"A4",2740.56705334289,"1","I"
"30",19,"A4",2743.57495406202,"1","I"
"31",19.6333333333333,"A4",2761.49196157874,"1","I"
"32",20.2666666666667,"A4",2784.79496618576,"1","I"
"33",20.9,"A4",2830.92862213881,"1","I"
"34",21.5333333333333,"A4",2901.67924370503,"1","I"
"35",22.1666666666667,"A4",3034.29912436244,"1","I"
"36",22.8,"A4",3322.04001090936,"1","I"
"37",23.4333333333333,"A4",3864.78877543999,"1","I"
"38",24.0666666666667,"A4",4346.22101065383,"1","I"
"39",24.7,"A4",4848.23338316542,"1","I"
"40",25.3333333333333,"A4",5415.86161303165,"1","I"
"41",25.9666666666667,"A4",6018.94314802748,"1","I"
"42",26.6,"A4",6536.40789716832,"1","I"
"43",27.2333333333333,"A4",6941.74057057839,"1","I"
"44",27.8666666666667,"A4",7238.95265184572,"1","I"
"45",28.5,"A4",7419.99117907622,"1","I"
"46",29.1333333333333,"A4",7475.54313983348,"1","I"
"47",29.7666666666667,"A4",7477.44531042076,"1","I"
"48",30.4,"A4",7435.30029051739,"1","I"
"49",31.0333333333333,"A4",7388.38359999789,"1","I"
"50",31.6666666666667,"A4",7342.22642843658,"1","I"
"51",32.3,"A4",7308.58878066314,"1","I"
"52",32.9333333333333,"A4",7276.5116436226,"1","I"
"53",33.5666666666667,"A4",7269.2968398151,"1","I"
"54",34.2,"A4",7251.66816764808,"1","I"
"55",34.8333333333333,"A4",7244.33589618846,"1","I"
"56",35.4666666666667,"A4",7233.764077945,"1","I"
"57",36.1,"A4",7228.18163259447,"1","I"
"58",36.7333333333333,"A4",7218.26593099779,"1","I"
"59",37.3666666666667,"A4",7213.0388454029,"1","I"
"60",38,"A4",7205.08848152599,"1","I"
"61",0.633333333333333,"A5",2715.13474629214,"1","H"
"62",1.26666666666667,"A5",2714.83324951103,"1","H"
"63",1.9,"A5",2715.79263664274,"1","H"
"64",2.53333333333333,"A5",2690.34819975971,"1","H"
"65",3.16666666666667,"A5",2671.61663878675,"1","H"
"66",3.8,"A5",2687.52382948718,"1","H"
"67",4.43333333333333,"A5",2727.60274801562,"1","H"
"68",5.06666666666667,"A5",2767.64067353421,"1","H"
"69",5.7,"A5",2778.10914456462,"1","H"
"70",6.33333333333333,"A5",2789.78660436157,"1","H"
"71",6.96666666666667,"A5",2796.90675699976,"1","H"
"72",7.6,"A5",2808.54521962347,"1","H"
"73",8.23333333333333,"A5",2808.22982998482,"1","H"
"74",8.86666666666667,"A5",2815.10015698189,"1","H"
"75",9.5,"A5",2813.73354979186,"1","H"
"76",10.1333333333333,"A5",2815.69227746714,"1","H"
"77",10.7666666666667,"A5",2818.40970230161,"1","H"
"78",11.4,"A5",2820.59203041472,"1","H"
"79",12.0333333333333,"A5",2820.80056878149,"1","H"
"80",12.6666666666667,"A5",2822.67950133508,"1","H"
"81",13.3,"A5",2817.72793068398,"1","H"
"82",13.9333333333333,"A5",2825.16240260935,"1","H"
"83",14.5666666666667,"A5",2824.00745289169,"1","H"
"84",15.2,"A5",2828.0395184049,"1","H"
"85",15.8333333333333,"A5",2825.54262504852,"1","H"
"86",16.4666666666667,"A5",2826.96139095777,"1","H"
"87",17.1,"A5",2832.93843895511,"1","H"
"88",17.7333333333333,"A5",2840.72836804385,"1","H"
"89",18.3666666666667,"A5",2853.54893248165,"1","H"
"90",19,"A5",2880.1623096328,"1","H"
"91",19.6333333333333,"A5",2934.4522243708,"1","H"
"92",20.2666666666667,"A5",3028.62357326078,"1","H"
"93",20.9,"A5",3194.80612734224,"1","H"
"94",21.5333333333333,"A5",3561.65253609154,"1","H"
